col,lig,centre_x,centre_y,kills_depuis,morts_dedans,portee_mediane_m,denivele_median_m,matchs_kills,matchs_presence,matchs_distincts,occupation_gagnants_ms,occupation_perdants_ms,dir_sortante_cos,dir_sortante_sin,dir_sortante_n,dir_entrante_cos,dir_entrante_sin,dir_entrante_n,kills_ponderes,morts_ponderees,kills_rang_connu,morts_rang_connu,kills_tueur_fort,morts_tueur_fort
-27,46,-13.250,23.250,0,1,0.000,0.000,1,0,1,0.000,0.000,0.000,0.000,0,0.613,0.790,1,0.000,1.000,0,0,0,0
-24,41,-11.750,20.750,0,1,0.000,0.000,1,0,1,0.000,0.000,0.000,0.000,0,0.367,0.930,1,0.000,1.000,0,0,0,0
-22,53,-10.750,26.750,0,0,0.000,0.000,0,2,2,1900.000,400.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-22,56,-10.750,28.250,0,0,0.000,0.000,0,5,5,800.000,3000.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-22,59,-10.750,29.750,1,0,4.099,-0.962,1,0,1,0.000,0.000,0.607,0.794,1,0.000,0.000,0,1.000,0.000,0,0,0,0
-22,61,-10.750,30.750,0,0,0.000,0.000,0,1,1,600.000,0.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-22,62,-10.750,31.250,0,0,0.000,0.000,0,2,2,200.000,0.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-22,63,-10.750,31.750,0,0,0.000,0.000,0,1,1,300.000,0.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-22,64,-10.750,32.250,1,0,4.142,-1.219,1,1,2,100.000,300.000,0.957,0.289,1,0.000,0.000,0,1.000,0.000,0,0,0,0
-22,65,-10.750,32.750,1,0,0.325,0.280,1,1,2,500.000,200.000,0.930,-0.368,1,0.000,0.000,0,1.000,0.000,0,0,0,0
-22,66,-10.750,33.250,0,0,0.000,0.000,0,1,1,300.000,0.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-21,51,-10.250,25.750,1,0,4.298,1.040,1,0,1,0.000,0.000,0.928,0.372,1,0.000,0.000,0,1.000,0.000,0,0,0,0
-21,53,-10.250,26.750,0,0,0.000,0.000,0,2,2,800.000,300.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-21,54,-10.250,27.250,0,0,0.000,0.000,0,6,6,3000.000,6400.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-21,55,-10.250,27.750,0,0,0.000,0.000,0,4,4,2000.000,400.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-21,56,-10.250,28.250,0,0,0.000,0.000,0,5,5,500.000,1800.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-21,57,-10.250,28.750,0,0,0.000,0.000,0,4,4,800.000,500.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-21,58,-10.250,29.250,0,0,0.000,0.000,0,5,5,1600.000,2200.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-21,59,-10.250,29.750,0,0,0.000,0.000,0,4,4,600.000,300.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-21,60,-10.250,30.250,0,1,0.000,0.000,1,4,5,2400.000,900.000,0.000,0.000,0,0.293,-0.956,1,0.000,1.000,0,0,0,0
-21,61,-10.250,30.750,0,1,0.000,0.000,1,3,4,700.000,0.000,0.000,0.000,0,0.714,0.701,1,0.000,1.000,0,0,0,0
-21,62,-10.250,31.250,0,0,0.000,0.000,0,3,3,1400.000,0.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-21,63,-10.250,31.750,0,0,0.000,0.000,0,2,2,1200.000,200.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-21,64,-10.250,32.250,0,0,0.000,0.000,0,2,2,800.000,600.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-21,65,-10.250,32.750,0,1,0.000,0.000,1,6,7,1300.000,2800.000,0.000,0.000,0,-0.885,-0.466,1,0.000,1.000,0,0,0,0
-21,66,-10.250,33.250,0,1,0.000,0.000,1,3,4,2800.000,200.000,0.000,0.000,0,0.999,0.052,1,0.000,1.000,0,0,0,0
-21,67,-10.250,33.750,1,0,4.159,-0.682,1,3,4,100.000,1600.000,0.850,-0.526,1,0.000,0.000,0,1.000,0.000,0,0,0,0
-20,53,-9.750,26.750,0,1,0.000,0.000,1,6,7,400.000,1400.000,0.000,0.000,0,0.889,-0.457,1,0.000,1.000,0,0,0,0
-20,54,-9.750,27.250,0,0,0.000,0.000,0,6,6,500.000,1400.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-20,55,-9.750,27.750,0,0,0.000,0.000,0,3,3,700.000,500.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-20,56,-9.750,28.250,1,0,1.878,-0.984,1,3,4,800.000,500.000,0.976,0.220,1,0.000,0.000,0,1.000,0.000,0,0,0,0
-20,57,-9.750,28.750,1,1,17.326,-1.532,2,6,8,400.000,1900.000,0.735,-0.678,1,0.350,0.937,1,1.000,1.000,0,0,0,0
-20,58,-9.750,29.250,0,0,0.000,0.000,0,6,6,1200.000,2100.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-20,59,-9.750,29.750,1,0,4.387,-0.794,1,6,7,1600.000,1200.000,0.690,0.723,1,0.000,0.000,0,1.000,0.000,0,0,0,0
-20,60,-9.750,30.250,1,0,7.257,2.538,1,6,7,1200.000,1100.000,0.144,-0.990,1,0.000,0.000,0,1.000,0.000,0,0,0,0
-20,61,-9.750,30.750,0,0,0.000,0.000,0,6,6,1200.000,2800.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-20,62,-9.750,31.250,0,0,0.000,0.000,0,5,5,1500.000,1900.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-20,63,-9.750,31.750,1,0,8.717,0.302,1,5,6,900.000,2000.000,0.875,0.484,1,0.000,0.000,0,1.000,0.000,0,0,0,0
-20,64,-9.750,32.250,0,0,0.000,0.000,0,4,4,600.000,1400.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-20,65,-9.750,32.750,0,1,0.000,0.000,1,6,7,1200.000,2600.000,0.000,0.000,0,0.992,0.126,1,0.000,1.000,0,0,0,0
-20,66,-9.750,33.250,1,0,0.921,0.011,1,5,5,2200.000,2800.000,0.945,-0.326,1,0.000,0.000,0,1.000,0.000,0,0,0,0
-20,67,-9.750,33.750,0,0,0.000,0.000,0,5,5,1100.000,3200.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-20,68,-9.750,34.250,0,0,0.000,0.000,0,1,1,0.000,1000.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-19,51,-9.250,25.750,0,0,0.000,0.000,0,1,1,0.000,100.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-19,52,-9.250,26.250,0,0,0.000,0.000,0,5,5,400.000,2000.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-19,53,-9.250,26.750,1,0,3.356,-1.845,1,6,7,700.000,2300.000,-0.018,1.000,1,0.000,0.000,0,1.000,0.000,0,0,0,0
-19,54,-9.250,27.250,0,0,0.000,0.000,0,4,4,1000.000,1800.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-19,55,-9.250,27.750,0,0,0.000,0.000,0,4,4,1200.000,1100.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-19,56,-9.250,28.250,0,0,0.000,0.000,0,4,4,1200.000,1700.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-19,57,-9.250,28.750,2,2,9.372,1.163,3,6,8,1600.000,3300.000,0.957,0.362,2,1.527,-1.292,2,2.000,2.000,0,0,0,0
-19,58,-9.250,29.250,0,1,0.000,0.000,1,6,7,1400.000,2400.000,0.000,0.000,0,0.764,-0.645,1,0.000,1.000,0,0,0,0
-19,59,-9.250,29.750,1,2,2.570,-0.883,3,6,9,1600.000,3800.000,0.331,0.944,1,-0.234,-1.971,2,1.000,2.000,0,0,0,0
-19,60,-9.250,30.250,0,0,0.000,0.000,0,6,6,2400.000,4500.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-19,61,-9.250,30.750,1,1,3.251,-1.140,2,6,8,2100.000,6400.000,0.992,0.123,1,0.850,0.526,1,1.000,1.000,0,0,0,0
-19,62,-9.250,31.250,1,1,2.116,-0.447,2,6,8,2300.000,4500.000,0.255,0.967,1,0.484,-0.875,1,1.000,1.000,0,0,0,0
-19,63,-9.250,31.750,0,0,0.000,0.000,0,6,6,2500.000,3800.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-19,64,-9.250,32.250,0,1,0.000,0.000,1,6,7,1200.000,3100.000,0.000,0.000,0,0.845,0.535,1,0.000,1.000,0,0,0,0
-19,65,-9.250,32.750,1,0,4.743,-0.391,1,6,7,1600.000,3100.000,0.947,0.323,1,0.000,0.000,0,1.000,0.000,0,0,0,0
-19,66,-9.250,33.250,0,0,0.000,0.000,0,6,6,3000.000,3700.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-19,67,-9.250,33.750,0,0,0.000,0.000,0,5,5,1600.000,3900.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-19,68,-9.250,34.250,0,0,0.000,0.000,0,2,2,700.000,4300.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-18,47,-8.750,23.750,0,1,0.000,0.000,1,0,1,0.000,0.000,0.000,0.000,0,-0.137,0.991,1,0.000,1.000,0,0,0,0
-18,49,-8.750,24.750,0,0,0.000,0.000,0,1,1,0.000,100.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-18,50,-8.750,25.250,1,0,5.278,-0.637,1,1,2,0.000,200.000,-0.252,0.968,1,0.000,0.000,0,1.000,0.000,0,0,0,0
-18,51,-8.750,25.750,0,0,0.000,0.000,0,3,3,0.000,1000.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-18,52,-8.750,26.250,0,0,0.000,0.000,0,5,5,500.000,2300.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-18,53,-8.750,26.750,0,0,0.000,0.000,0,3,3,100.000,1400.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-18,54,-8.750,27.250,0,0,0.000,0.000,0,4,4,300.000,1700.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-18,55,-8.750,27.750,4,2,3.606,0.106,5,5,10,1000.000,1900.000,2.518,-0.266,4,1.194,0.279,2,4.000,2.000,0,0,0,0
-18,56,-8.750,28.250,3,0,2.566,0.850,3,5,8,1200.000,3900.000,0.986,-1.878,3,0.000,0.000,0,3.000,0.000,0,0,0,0
-18,57,-8.750,28.750,1,0,4.295,0.604,1,6,7,3000.000,5400.000,0.659,-0.752,1,0.000,0.000,0,1.000,0.000,0,0,0,0
-18,58,-8.750,29.250,2,0,2.834,0.039,2,6,7,4900.000,5300.000,0.837,1.697,2,0.000,0.000,0,2.000,0.000,0,0,0,0
-18,59,-8.750,29.750,0,0,0.000,0.000,0,6,6,3800.000,4800.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-18,60,-8.750,30.250,0,0,0.000,0.000,0,6,6,3300.000,6700.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-18,61,-8.750,30.750,1,0,3.411,-1.554,1,6,7,4300.000,5900.000,0.868,0.497,1,0.000,0.000,0,1.000,0.000,0,0,0,0
-18,62,-8.750,31.250,0,2,0.000,0.000,2,6,8,4200.000,6000.000,0.000,0.000,0,0.610,-0.105,2,0.000,2.000,0,0,0,0
-18,63,-8.750,31.750,0,0,0.000,0.000,0,6,6,4700.000,6000.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-18,64,-8.750,32.250,1,2,5.206,-0.257,3,6,8,6000.000,6200.000,0.865,0.502,1,1.249,1.532,2,1.000,2.000,0,0,0,0
-18,65,-8.750,32.750,1,2,2.255,1.890,3,6,8,4100.000,5300.000,-1.000,-0.025,1,0.190,0.739,2,1.000,2.000,0,0,0,0
-18,66,-8.750,33.250,0,1,0.000,0.000,1,6,7,3300.000,3400.000,0.000,0.000,0,-0.226,-0.974,1,0.000,1.000,0,0,0,0
-18,67,-8.750,33.750,2,0,11.741,0.867,2,5,7,1700.000,1600.000,1.162,-1.109,2,0.000,0.000,0,2.000,0.000,0,0,0,0
-18,68,-8.750,34.250,0,0,0.000,0.000,0,3,3,600.000,600.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-18,69,-8.750,34.750,0,1,0.000,0.000,1,0,1,0.000,0.000,0.000,0.000,0,0.753,-0.657,1,0.000,1.000,0,0,0,0
-17,45,-8.250,22.750,0,1,0.000,0.000,1,0,1,0.000,0.000,0.000,0.000,0,0.863,0.505,1,0.000,1.000,0,0,0,0
-17,46,-8.250,23.250,0,0,0.000,0.000,0,1,1,0.000,3000.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-17,47,-8.250,23.750,0,0,0.000,0.000,0,6,6,72300.000,79500.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-17,48,-8.250,24.250,0,0,0.000,0.000,0,4,4,400.000,600.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-17,49,-8.250,24.750,0,0,0.000,0.000,0,4,4,300.000,300.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-17,50,-8.250,25.250,0,0,0.000,0.000,0,4,4,300.000,500.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-17,51,-8.250,25.750,0,0,0.000,0.000,0,3,3,200.000,1500.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-17,52,-8.250,26.250,0,0,0.000,0.000,0,6,6,800.000,1300.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-17,53,-8.250,26.750,1,0,4.654,0.145,1,5,6,2100.000,3100.000,0.980,0.199,1,0.000,0.000,0,1.000,0.000,0,0,0,0
-17,54,-8.250,27.250,1,1,4.248,0.380,1,5,6,900.000,6100.000,0.399,-0.917,1,0.413,-0.911,1,1.000,1.000,0,0,0,0
-17,55,-8.250,27.750,1,0,3.518,-1.029,1,6,7,3000.000,10300.000,-0.209,0.978,1,0.000,0.000,0,1.000,0.000,0,0,0,0
-17,56,-8.250,28.250,1,1,4.698,0.101,2,6,8,5700.000,11200.000,0.595,-0.804,1,0.283,0.959,1,1.000,1.000,0,0,0,0
-17,57,-8.250,28.750,1,3,0.276,-0.212,3,6,8,8100.000,15500.000,-0.524,-0.852,1,-1.512,-1.282,3,1.000,3.000,0,0,0,0
-17,58,-8.250,29.250,2,1,1.028,-0.363,2,6,8,5000.000,13400.000,-0.559,1.422,2,-0.413,0.911,1,2.000,1.000,0,0,0,0
-17,59,-8.250,29.750,1,2,2.906,-0.615,3,6,8,5700.000,15300.000,0.091,0.996,1,1.735,0.003,2,1.000,2.000,0,0,0,0
-17,60,-8.250,30.250,3,2,15.195,1.140,4,6,9,4900.000,12500.000,2.987,0.241,3,1.622,-0.529,2,3.000,2.000,0,0,0,0
-17,61,-8.250,30.750,2,2,2.981,-0.604,3,6,8,5900.000,13300.000,1.903,0.349,2,1.714,0.820,2,2.000,2.000,0,0,0,0
-17,62,-8.250,31.250,2,1,19.536,2.001,3,6,9,4600.000,5900.000,1.989,0.205,2,-0.309,-0.951,1,2.000,1.000,0,0,0,0
-17,63,-8.250,31.750,0,0,0.000,0.000,0,6,6,6100.000,7000.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-17,64,-8.250,32.250,1,4,15.451,2.683,5,6,10,8300.000,11600.000,0.742,0.670,1,0.641,-0.332,4,1.000,4.000,0,0,0,0
-17,65,-8.250,32.750,6,0,1.214,0.268,5,6,10,7400.000,8400.000,3.130,1.003,6,0.000,0.000,0,6.000,0.000,0,0,0,0
-17,66,-8.250,33.250,1,2,4.832,1.152,2,6,8,3200.000,5500.000,-0.281,-0.960,1,0.036,-0.025,2,1.000,2.000,0,0,0,0
-17,67,-8.250,33.750,0,0,0.000,0.000,0,6,6,1000.000,2400.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-17,68,-8.250,34.250,0,0,0.000,0.000,0,4,4,0.000,1100.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-17,74,-8.250,37.250,0,1,0.000,0.000,1,0,1,0.000,0.000,0.000,0.000,0,0.218,-0.976,1,0.000,1.000,0,0,0,0
-16,45,-7.750,22.750,0,0,0.000,0.000,0,1,1,0.000,100.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-16,46,-7.750,23.250,0,0,0.000,0.000,0,1,1,0.000,100.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-16,47,-7.750,23.750,0,0,0.000,0.000,0,6,6,73800.000,71700.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-16,48,-7.750,24.250,0,0,0.000,0.000,0,4,4,400.000,500.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-16,49,-7.750,24.750,0,0,0.000,0.000,0,4,4,400.000,900.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-16,50,-7.750,25.250,0,1,0.000,0.000,1,4,5,500.000,1800.000,0.000,0.000,0,0.784,-0.621,1,0.000,1.000,0,0,0,0
-16,51,-7.750,25.750,0,0,0.000,0.000,0,4,4,900.000,600.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-16,52,-7.750,26.250,2,0,13.662,-0.581,2,6,8,1700.000,1300.000,1.587,-1.216,2,0.000,0.000,0,2.000,0.000,0,0,0,0
-16,53,-7.750,26.750,0,2,0.000,0.000,2,5,7,2300.000,3900.000,0.000,0.000,0,0.892,1.446,2,0.000,2.000,0,0,0,0
-16,54,-7.750,27.250,2,4,7.299,2.035,4,6,10,4200.000,8600.000,1.831,-0.323,2,2.566,-0.476,4,2.000,4.000,0,0,0,0
-16,55,-7.750,27.750,0,3,0.000,0.000,2,6,8,6200.000,10800.000,0.000,0.000,0,0.834,-0.397,3,0.000,3.000,0,0,0,0
-16,56,-7.750,28.250,2,1,0.492,-0.212,2,6,8,3100.000,7600.000,-0.516,1.842,2,0.023,1.000,1,2.000,1.000,0,0,0,0
-16,57,-7.750,28.750,2,3,1.245,-0.123,4,6,10,3600.000,7300.000,-0.186,0.001,2,0.388,-0.721,3,2.000,3.000,0,0,0,0
-16,58,-7.750,29.250,0,0,0.000,0.000,0,6,6,1800.000,26200.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-16,59,-7.750,29.750,1,0,2.800,0.883,1,5,6,1500.000,7700.000,-0.085,-0.996,1,0.000,0.000,0,1.000,0.000,0,0,0,0
-16,60,-7.750,30.250,3,4,3.331,0.000,6,6,12,3700.000,12900.000,0.277,0.933,3,3.162,2.187,4,3.000,4.000,0,0,0,0
-16,61,-7.750,30.750,2,2,7.732,3.908,3,6,9,5600.000,12600.000,-0.562,-1.913,2,-0.391,-1.936,2,2.000,2.000,0,0,0,0
-16,62,-7.750,31.250,1,0,3.730,1.096,1,6,7,2900.000,5400.000,0.030,-1.000,1,0.000,0.000,0,1.000,0.000,0,0,0,0
-16,63,-7.750,31.750,0,1,0.000,0.000,1,5,6,3100.000,2900.000,0.000,0.000,0,1.000,0.022,1,0.000,1.000,0,0,0,0
-16,64,-7.750,32.250,1,1,6.618,1.073,2,6,7,3000.000,14700.000,0.867,0.498,1,-0.879,0.477,1,1.000,1.000,0,0,0,0
-16,65,-7.750,32.750,1,3,21.358,1.431,4,6,10,14200.000,13600.000,0.823,0.568,1,0.402,1.394,3,1.000,3.000,0,0,0,0
-16,66,-7.750,33.250,1,2,1.571,0.089,3,6,8,8000.000,11700.000,-0.707,-0.707,1,1.932,0.026,2,1.000,2.000,0,0,0,0
-16,67,-7.750,33.750,0,1,0.000,0.000,1,6,7,2100.000,4800.000,0.000,0.000,0,-0.387,-0.922,1,0.000,1.000,0,0,0,0
-16,68,-7.750,34.250,0,0,0.000,0.000,0,5,5,1800.000,900.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-16,69,-7.750,34.750,0,0,0.000,0.000,0,1,1,200.000,0.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-15,43,-7.250,21.750,0,0,0.000,0.000,0,1,1,0.000,5400.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-15,44,-7.250,22.250,0,0,0.000,0.000,0,1,1,0.000,6600.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-15,45,-7.250,22.750,0,0,0.000,0.000,0,6,6,700.000,6900.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-15,46,-7.250,23.250,0,0,0.000,0.000,0,6,6,81000.000,82800.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-15,47,-7.250,23.750,0,0,0.000,0.000,0,6,6,800.000,5600.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-15,48,-7.250,24.250,0,0,0.000,0.000,0,5,5,600.000,1300.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-15,49,-7.250,24.750,1,0,5.237,0.134,1,3,4,600.000,700.000,0.840,-0.543,1,0.000,0.000,0,1.000,0.000,0,0,0,0
-15,50,-7.250,25.250,0,1,0.000,0.000,1,5,6,600.000,900.000,0.000,0.000,0,0.933,-0.359,1,0.000,1.000,0,0,0,0
-15,51,-7.250,25.750,0,1,0.000,0.000,1,5,6,900.000,1600.000,0.000,0.000,0,0.953,-0.302,1,0.000,1.000,0,0,0,0
-15,52,-7.250,26.250,1,0,12.862,1.107,1,6,7,1600.000,1900.000,0.763,-0.647,1,0.000,0.000,0,1.000,0.000,0,0,0,0
-15,53,-7.250,26.750,1,0,5.191,-0.414,1,6,7,3400.000,4700.000,0.952,-0.308,1,0.000,0.000,0,1.000,0.000,0,0,0,0
-15,54,-7.250,27.250,3,1,2.959,-0.380,4,6,9,4400.000,7700.000,-0.721,0.693,3,0.983,-0.183,1,3.000,1.000,0,0,0,0
-15,55,-7.250,27.750,0,2,0.000,0.000,2,6,8,3300.000,4100.000,0.000,0.000,0,1.177,-1.398,2,0.000,2.000,0,0,0,0
-15,56,-7.250,28.250,0,0,0.000,0.000,0,5,5,800.000,700.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-15,60,-7.250,30.250,0,1,0.000,0.000,1,6,7,900.000,2600.000,0.000,0.000,0,-0.999,0.053,1,0.000,1.000,0,0,0,0
-15,61,-7.250,30.750,3,1,16.259,1.800,4,6,9,3600.000,10700.000,2.933,-0.040,3,0.729,0.685,1,3.000,1.000,0,0,0,0
-15,62,-7.250,31.250,2,1,9.791,0.699,2,6,8,3200.000,7700.000,1.958,-0.241,2,1.000,-0.010,1,2.000,1.000,0,0,0,0
-15,63,-7.250,31.750,0,0,0.000,0.000,0,2,2,200.000,1100.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-15,65,-7.250,32.750,0,2,0.000,0.000,2,6,8,6300.000,5200.000,0.000,0.000,0,1.432,1.371,2,0.000,2.000,0,0,0,0
-15,66,-7.250,33.250,4,1,2.290,-0.045,5,6,9,12200.000,14600.000,1.447,-0.067,4,-0.186,-0.983,1,4.000,1.000,0,0,0,0
-15,67,-7.250,33.750,0,1,0.000,0.000,1,6,7,3100.000,5900.000,0.000,0.000,0,0.623,0.782,1,0.000,1.000,0,0,0,0
-15,68,-7.250,34.250,1,0,5.028,-3.634,1,5,6,600.000,1000.000,-0.375,-0.927,1,0.000,0.000,0,1.000,0.000,0,0,0,0
-15,69,-7.250,34.750,0,0,0.000,0.000,0,2,2,400.000,200.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-15,70,-7.250,35.250,0,1,0.000,0.000,1,1,2,300.000,0.000,0.000,0.000,0,0.926,-0.379,1,0.000,1.000,0,0,0,0
-15,74,-7.250,37.250,0,1,0.000,0.000,1,0,1,0.000,0.000,0.000,0.000,0,0.983,-0.184,1,0.000,1.000,0,0,0,0
-14,43,-6.750,21.750,0,0,0.000,0.000,0,1,1,0.000,11200.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-14,44,-6.750,22.250,0,0,0.000,0.000,0,2,2,100.000,500.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-14,45,-6.750,22.750,0,1,0.000,0.000,1,6,7,900.000,5400.000,0.000,0.000,0,0.996,0.088,1,0.000,1.000,0,0,0,0
-14,46,-6.750,23.250,1,1,4.293,-0.369,1,3,4,300.000,5200.000,-0.362,0.932,1,-0.362,0.932,1,1.000,1.000,0,0,0,0
-14,47,-6.750,23.750,0,0,0.000,0.000,0,4,4,1000.000,700.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-14,48,-6.750,24.250,0,0,0.000,0.000,0,6,6,1600.000,800.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-14,49,-6.750,24.750,1,0,3.068,0.201,1,6,7,1100.000,1500.000,0.773,-0.634,1,0.000,0.000,0,1.000,0.000,0,0,0,0
-14,50,-6.750,25.250,0,0,0.000,0.000,0,3,3,500.000,1100.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-14,51,-6.750,25.750,0,0,0.000,0.000,0,6,6,200.000,1600.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-14,52,-6.750,26.250,1,1,9.058,3.041,2,6,8,1200.000,2200.000,0.152,-0.988,1,0.514,-0.858,1,1.000,1.000,0,0,0,0
-14,53,-6.750,26.750,1,1,3.452,-0.458,2,6,7,2900.000,4700.000,-0.733,0.680,1,0.918,0.397,1,1.000,1.000,0,0,0,0
-14,54,-6.750,27.250,0,1,0.000,0.000,1,6,7,5300.000,5900.000,0.000,0.000,0,0.989,0.145,1,0.000,1.000,0,0,0,0
-14,55,-6.750,27.750,0,1,0.000,0.000,1,5,6,600.000,2200.000,0.000,0.000,0,0.902,-0.431,1,0.000,1.000,0,0,0,0
-14,57,-6.750,28.750,0,1,0.000,0.000,1,4,5,1100.000,1500.000,0.000,0.000,0,0.174,0.985,1,0.000,1.000,0,0,0,0
-14,58,-6.750,29.250,0,1,0.000,0.000,1,5,6,1500.000,2600.000,0.000,0.000,0,0.987,-0.159,1,0.000,1.000,0,0,0,0
-14,59,-6.750,29.750,0,1,0.000,0.000,1,3,4,700.000,500.000,0.000,0.000,0,0.963,-0.268,1,0.000,1.000,0,0,0,0
-14,60,-6.750,30.250,0,2,0.000,0.000,2,5,7,3700.000,1800.000,0.000,0.000,0,1.704,0.989,2,0.000,2.000,0,0,0,0
-14,61,-6.750,30.750,2,3,10.109,1.146,5,6,11,7700.000,10900.000,1.739,0.813,2,0.846,-0.677,3,2.000,3.000,0,0,0,0
